company,status,start,stop,aim,scale,intensity,extent,domination,maintenance,num_bugs,tstart,tstop,endpt
hastexo,0,5,18,1,1,0.000881057,0.040816327,0.338509317,10215,2634,5,6,0
hastexo,0,5,18,1,1,0.00023882,0.014184397,0.304147465,16749,3615,6,7,0
hastexo,0,5,18,1,1,0.000128041,0.014354067,0.752808989,23430,6070,7,8,0
hastexo,0,5,18,1,1,0.000602214,0.01953125,0.430232558,21587,10086,8,9,0
hastexo,0,5,18,1,1,4.12E-05,0.002881844,0.277777778,24243,13896,9,10,0
hastexo,0,5,18,1,1,3.27E-05,0.002267574,0.705128205,30611,17092,10,11,0
hastexo,0,5,18,1,1,3.20E-05,0.001751313,0.164130435,31242,17904,11,12,0
hastexo,0,5,18,1,1,4.14E-05,0.00128041,0.257095159,24147,8059,15,16,0
hastexo,0,5,18,1,1,6.16E-05,0.001381215,0.364705882,16225,4879,16,17,0
hastexo,0,5,18,1,1,0.000118308,0.001369863,0.5,16905,5356,17,18,0
99cloud,0,6,18,1,2,0.000895576,0.063829787,0.196202532,16749,3615,6,7,0
99cloud,0,6,18,1,2,0.001963295,0.04784689,0.288184438,23430,6070,7,8,0
99cloud,0,6,18,1,2,0.002594154,0.1015625,0.341176471,21587,10086,8,9,0
99cloud,0,6,18,1,2,0.0021037,0.083573487,0.477124183,24243,13896,9,10,0
99cloud,0,6,18,1,2,0.001437392,0.020408163,0.151226158,30611,17092,10,11,0
99cloud,0,6,18,1,2,0.007713975,0.07530648,0.164130435,31242,17904,11,12,0
99cloud,0,6,18,1,2,0.010668868,0.146978022,0.230031949,32712,20148,12,13,0
99cloud,0,6,18,1,2,0.016904539,0.073439412,0.255969436,34192,20047,13,14,0
99cloud,0,6,18,1,2,0.025333145,0.131513648,0.260928962,21237,7893,14,15,0
99cloud,0,6,18,1,2,0.023274113,0.125480154,0.257095159,24147,8059,15,16,0
99cloud,0,6,18,1,2,0.018181818,0.165745856,0.395348837,16225,4879,16,17,0
99cloud,0,6,18,1,2,0.062052647,0.473972603,0.296296296,16905,5356,17,18,0
aptira,0,6,18,1,2,5.97E-05,0.007092199,0.197718631,16749,3615,6,7,0
aptira,0,6,18,1,2,0.000213402,0.009569378,0.238317757,23430,6070,7,8,0
aptira,0,6,18,1,2,0.001204429,0.0390625,0.237569061,21587,10086,8,9,0
aptira,0,6,18,1,2,0.002474941,0.031700288,0.455830389,24243,13896,9,10,0
aptira,0,6,18,1,2,0.00016334,0.009070295,0.4,30611,17092,10,11,0
aptira,0,6,18,1,2,0.003264836,0.007005254,0.824742268,31242,17904,11,12,0
aptira,0,6,18,1,2,0.000550257,0.021978022,0.35443038,32712,20148,12,13,0
aptira,0,6,18,1,2,0.000555686,0.014687882,0.3625,34192,20047,13,14,0
aptira,0,6,18,1,2,0.000141263,0.003722084,0.884353741,21237,7893,14,15,0
aptira,0,6,18,1,2,0.000165652,0.002560819,0.282208589,24147,8059,15,16,0
aptira,0,6,18,1,2,0.000118308,0.002739726,0.296296296,16905,5356,17,18,0
cloudbase solutions,0,5,18,2,2,0.000978953,0.06122449,0.257370518,10215,2634,5,6,0
cloudbase solutions,0,5,18,2,2,0.004298764,0.113475177,0.197718631,16749,3615,6,7,0
cloudbase solutions,0,5,18,2,2,0.002048656,0.052631579,0.8125,23430,6070,7,8,0
cloudbase solutions,0,5,18,2,2,0.005049335,0.046875,1,21587,10086,8,9,0
cloudbase solutions,0,5,18,2,2,0.004289898,0.028818444,0.953125,24243,13896,9,10,0
cloudbase solutions,0,5,18,2,2,0.005357551,0.031746032,0.893939394,30611,17092,10,11,0
cloudbase solutions,0,5,18,2,2,0.007553934,0.038528897,0.983050847,31242,17904,11,12,0
cloudbase solutions,0,5,18,2,2,0.006297383,0.03021978,0.987804878,32712,20148,12,13,0
cloudbase solutions,0,5,18,2,2,0.004299251,0.036719706,1,34192,20047,13,14,0
cloudbase solutions,0,5,18,2,2,0.004802938,0.013647643,0.944444444,21237,7893,14,15,0
cloudbase solutions,0,5,18,2,2,0.006004887,0.020486556,0.970588235,24147,8059,15,16,0
cloudbase solutions,0,5,18,2,2,0.006964561,0.017955801,0.914285714,16225,4879,16,17,0
cloudbase solutions,0,5,18,2,2,0.001774623,0.017808219,1,16905,5356,17,18,0
cloudvps,0,6,16,1,2,5.97E-05,0.007092199,0.421052632,16749,3615,6,7,0
cloudvps,0,6,16,1,2,8.54E-05,0.009569378,0.238317757,23430,6070,7,8,0
cloudvps,0,6,16,1,2,0.000138973,0.01171875,0.164203612,21587,10086,8,9,0
cloudvps,0,6,16,1,2,0.000164996,0.008645533,0.271812081,24243,13896,9,10,0
cloudvps,0,6,16,1,2,6.53E-05,0.004535147,0.316939891,30611,17092,10,11,0
cloudvps,0,6,16,1,2,3.20E-05,0.001751313,0.286343612,31242,17904,11,12,0
cloudvps,0,6,16,1,2,2.92E-05,0.00122399,0.623441397,34192,20047,13,14,0
cloudvps,0,6,16,1,2,4.14E-05,0.00128041,0.540540541,24147,8059,15,16,0
memset,0,3,18,1,2,0.00025582,0.05,0.5,7818,1268,3,4,0
memset,0,3,18,1,2,0.000136911,0.015151515,0.440944882,7304,3394,4,5,0
memset,0,3,18,1,2,5.97E-05,0.007092199,0.192307692,16749,3615,6,7,0
memset,0,3,18,1,2,4.63E-05,0.00390625,0.358974359,21587,10086,8,9,0
memset,0,3,18,1,2,6.11E-05,0.002747253,0.577464789,32712,20148,12,13,0
memset,0,3,18,1,2,4.71E-05,0.001240695,0.502202643,21237,7893,14,15,0
metacloud,0,5,17,1,2,0.000783162,0.040816327,0.257370518,10215,2634,5,6,0
metacloud,0,5,17,1,2,0.002985253,0.042553191,0.197718631,16749,3615,6,7,0
metacloud,0,5,17,1,2,0.002774221,0.066985646,0.190883191,23430,6070,7,8,0
metacloud,0,5,17,1,2,0.003474313,0.07421875,0.341176471,21587,10086,8,9,0
metacloud,0,5,17,1,2,0.000907478,0.040345821,0.168081494,24243,13896,9,10,0
metacloud,0,5,17,1,2,0.00065336,0.01814059,0.1900978,30611,17092,10,11,0
metacloud,0,5,17,1,2,0.002048524,0.012259194,0.479674797,31242,17904,11,12,0
metacloud,0,5,17,1,2,0.000244559,0.005494505,0.173321234,32712,20148,12,13,0
metacloud,0,5,17,1,2,0.000233973,0.006119951,0.140760507,34192,20047,13,14,0
metacloud,0,5,17,1,2,0.000329613,0.003722084,0.585365854,21237,7893,14,15,0
metacloud,0,5,17,1,2,4.14E-05,0.00128041,0.914893617,24147,8059,15,16,0
metacloud,0,5,17,1,2,0.000123267,0.002762431,0.694690265,16225,4879,16,17,0
midokura,0,2,18,2,2,0.001397136,0.12,0.460618847,2863,536,2,3,0
midokura,0,2,18,2,2,0.008314147,0.075,0.666285278,7818,1268,3,4,0
midokura,0,2,18,2,2,0.000410734,0.015151515,0.490291262,7304,3394,4,5,0
midokura,0,2,18,2,2,0.000293686,0.030612245,0.239285714,10215,2634,5,6,0
midokura,0,2,18,2,2,0.00035823,0.014184397,0.21031746,16749,3615,6,7,0
midokura,0,2,18,2,2,0.000554844,0.023923445,0.147919877,23430,6070,7,8,0
midokura,0,2,18,2,2,0.000602214,0.01171875,0.164203612,21587,10086,8,9,0
midokura,0,2,18,2,2,0.001443716,0.014409222,0.574074074,24243,13896,9,10,0
midokura,0,2,18,2,2,0.003658815,0.013605442,1,30611,17092,10,11,0
midokura,0,2,18,2,2,0.00601754,0.026269702,0.978947368,31242,17904,11,12,0
midokura,0,2,18,2,2,0.004830032,0.026098901,0.71559633,32712,20148,12,13,0
midokura,0,2,18,2,2,0.006317267,0.025703794,0.865384615,34192,20047,13,14,0
midokura,0,2,18,2,2,0.008522861,0.017369727,1,21237,7893,14,15,0
midokura,0,2,18,2,2,0.009276515,0.028169014,0.876923077,24147,8059,15,16,0
midokura,0,2,18,2,2,0.003328197,0.011049724,0.820512821,16225,4879,16,17,0
midokura,0,2,18,2,2,0.000828157,0.008219178,0.272727273,16905,5356,17,18,0
nectar,0,5,18,5,2,0.007146353,0.06122449,0.338509317,10215,2634,5,6,0
nectar,0,5,18,5,2,0.006269031,0.056737589,0.304147465,16749,3615,6,7,0
nectar,0,5,18,5,2,0.000213402,0.004784689,0.238317757,23430,6070,7,8,0
nectar,0,5,18,5,2,8.28E-05,0.002560819,0.464285714,24147,8059,15,16,0
nectar,0,5,18,5,2,0.000246533,0.004143646,0.408906883,16225,4879,16,17,0
nectar,0,5,18,5,2,0.000236616,0.004109589,0.238095238,16905,5356,17,18,0
objectif libre,0,5,18,4,2,9.79E-05,0.010204082,0.133333333,10215,2634,5,6,0
objectif libre,0,5,18,4,2,0.000768246,0.004784689,0.238317757,23430,6070,7,8,0
objectif libre,0,5,18,4,2,0.004725066,0.0546875,0.237569061,21587,10086,8,9,0
objectif libre,0,5,18,4,2,0.006146104,0.034582133,0.25,24243,13896,9,10,0
objectif libre,0,5,18,4,2,0.003985495,0.027210884,0.149812734,30611,17092,10,11,0
objectif libre,0,5,18,4,2,0.003200819,0.010507881,0.854166667,31242,17904,11,12,0
objectif libre,0,5,18,4,2,0.004340915,0.019230769,0.230031949,32712,20148,12,13,0
objectif libre,0,5,18,4,2,0.002193496,0.019583843,0.549019608,34192,20047,13,14,0
